Uhrzeit,load,pv_infeed
00:15,1.644,0
00:30,1.592,0
00:45,1.556,0
01:00,1.44,0
01:15,1.136,0
01:30,1.084,0
01:45,1.076,0
02:00,1.076,0
02:15,1.068,0
02:30,1.064,0
02:45,1.052,0
03:00,1.04,0
03:15,1.036,0
03:30,1.032,0
03:45,1.028,0
04:00,1.02,0
04:15,1.02,0
04:30,1.024,0
04:45,1.028,0
05:00,1.024,0
05:15,1.02,0
05:30,1.016,0
05:45,1.016,0
06:00,1.028,0
06:15,1.028,0
06:30,1.016,0
06:45,0.996,0
07:00,0.952,0
07:15,0.884,0
07:30,0.828,0
07:45,0.78,0
08:00,0.76,0
08:15,0.748,0
08:30,0.74,0
08:45,0.76,0
09:00,0.756,0
09:15,0.752,0
09:30,0.764,0.01425
09:45,0.8,0.14025
10:00,0.832,0.20475
10:15,0.848,0.333
10:30,0.856,0.468
10:45,0.852,0.6
11:00,0.864,0.77925
11:15,0.876,1.02575
11:30,0.892,1.2785
11:45,0.908,1.3645
12:00,0.976,1.63225
12:15,1.012,2.0145
12:30,1.191,2.4525
12:45,1.164,2.81075
13:00,0.981,3.1055
13:15,1.291,3.1995
13:30,4.063,3.60975
13:45,2.766,4.04475
14:00,1.072,4.17825
14:15,1.475,3.8025
14:30,1.292,3.60575
14:45,1.137,3.71425
15:00,1.14,4.0595
15:15,1.188,4.319
15:30,1.192,4.515
15:45,1.184,4.5255
16:00,1.292,4.8095
16:15,1.308,4.87075
16:30,1.396,5.5095
16:45,1.42,6.03725
17:00,1.292,6.00425
17:15,1.332,5.48175
17:30,1.36,4.33325
17:45,1.652,3.7145
18:00,1.544,2.962
18:15,1.368,1.8525
18:30,1.496,1.24975
18:45,1.236,0.66825
19:00,1.264,0.34925
19:15,1.484,0.0335
19:30,1.967,0
19:45,2.352,0
20:00,2.308,0
20:15,2.488,0
20:30,2.4,0
20:45,2.408,0
21:00,2.304,0
21:15,2.448,0
21:30,2.464,0
21:45,2.372,0
22:00,2.304,0
22:15,2.252,0
22:30,2.184,0
22:45,2.048,0
23:00,1.92,0
23:15,1.82,0
23:30,1.736,0
23:45,1.576,0
00:00,1.48,0
,1.252,0
,1.156,0
,1.144,0
,1.156,0
,1.144,0
,1.132,0
,1.112,0
,1.1,0
,1.084,0
,1.076,0
,1.068,0
,1.072,0
,1.068,0
,1.072,0
,1.06,0
,1.052,0
,1.052,0
,1.048,0
,1.044,0
,1.044,0
,1.044,0
,1.028,0
,1.028,0
,1.028,0
,1.06,0
,1.08,0
,1.032,0
,1.04,0
,1.124,0
,0.812,0
,0.792,0
,0.784,0
,0.756,0
,0.764,0
,0.732,0
,1.119,0
,0.973,0
,0.781,0.01425
,1.504,0.14025
,0.828,0.20475
,2.427,0.333
,1.778,0.468
,1.506,0.6
,0.865,0.77925
,0.816,1.02575
,0.892,1.2785
,2.254,1.3645
,1.781,1.63225
,1.248,2.0145
,1.276,2.4525
,1.116,2.81075
,1.387,3.1055
,1.233,3.1995
,1.076,3.60975
,1.076,4.04475
,1.052,4.17825
,1.024,3.8025
,1.056,3.60575
,1.112,3.71425
,1.076,4.0595
,1.232,4.319
,1.228,4.515
,1.208,4.5255
,1.212,4.8095
,1.364,4.87075
,1.288,5.5095
,1.232,6.03725
,1.196,6.00425
,1.212,5.48175
,1.208,4.33325
,1.2,3.7145
,1.148,2.962
,1.148,1.8525
,1.192,1.24975
,1.268,0.66825
,2.167,0.34925
,1.749,0.0335
,1.804,0
,2.392,0
,3.644,0
,2.62,0
,2.52,0
,2.564,0
,2.676,0
,2.792,0
,2.76,0
,2.476,0
,2.388,0
,2.4,0
,2.308,0
,2.128,0
,1.968,0
,1.984,0
,1.832,0
,1.74,0
,1.692,0
,1.576,0
,1.548,0
,1.376,0
,1.168,0
,1.132,0
,1.112,0
,1.1,0
,1.088,0
,1.088,0
,1.068,0
,1.072,0
,1.064,0
,1.056,0
,1.052,0
,1.044,0
,1.048,0
,1.048,0
,1.044,0
,1.044,0
,1.048,0
,1.056,0
,1.044,0
,1.048,0
,1.044,0
,1.044,0
,1.048,0
,1.1,0
,1.24,0
,1.148,0
,0.852,0
,0.764,0
,0.772,0
,0.768,0
,0.768,0
,1.195,0
,0.781,0
,0.824,0
,0.82,0.01425
,0.792,0.14025
,0.776,0.20475
,0.788,0.333
,0.836,0.468
,0.864,0.6
,0.888,0.77925
,0.912,1.02575
,0.908,1.2785
,0.928,1.3645
,0.984,1.63225
,0.976,2.0145
,1.208,2.4525
,1.052,2.81075
,1.884,3.1055
,1.284,3.1995
,1.22,3.60975
,1.447,4.04475
,2.04,4.17825
,1.221,3.8025
,1.652,3.60575
,1.58,3.71425
,1.575,4.0595
,1.493,4.319
,2.054,4.515
,1.514,4.5255
,1.768,4.8095
,1.372,4.87075
,1.412,5.5095
,1.448,6.03725
,1.4,6.00425
,1.364,5.48175
,2.231,4.33325
,1.413,3.7145
,1.528,2.962
,1.448,1.8525
,2.547,1.24975
,2.088,0.66825
,2.112,0.34925
,2.163,0.0335
,2.567,0
,3.281,0
,2.696,0
,2.951,0
,2.868,0
,2.912,0
,2.748,0
,2.688,0
,2.528,0
,2.472,0
,2.416,0
,2.28,0
,2.24,0
,2.116,0
,2,0
,1.928,0
,1.82,0
,1.72,0
,1.616,0
,1.348,0
,1.284,0
,1.248,0
,1.224,0
,1.224,0
,1.216,0
,1.176,0
,1.144,0
,1.132,0
,1.124,0
,1.128,0
,1.144,0
,1.132,0
,1.116,0
,1.096,0
,1.096,0
,1.092,0
,1.084,0
,1.08,0
,1.088,0
,1.088,0
,1.092,0
,1.096,0
,1.112,0
,1.128,0
,1.12,0
,1.032,0
,0.888,0
,0.812,0
,0.792,0
,0.772,0
,0.76,0
,0.756,0
,0.76,0
,1.095,0
,0.801,0
,0.935,0
,1.145,0.01425
,1.319,0.14025
,1.001,0.20475
,0.76,0.333
,0.74,0.468
,0.76,0.6
,0.812,0.77925
,1.555,1.02575
,0.889,1.2785
,0.892,1.3645
,1.112,1.63225
,0.928,2.0145
,1.14,2.4525
,1.4,2.81075
,1.635,3.1055
,1.237,3.1995
,1.441,3.60975
,1.3,4.04475
,1.116,4.17825
,1.12,3.8025
,1.132,3.60575
,1.132,3.71425
,1.076,4.0595
,1.076,4.319
,1.148,4.515
,1.076,4.5255
,1.844,4.8095
,1.088,4.87075
,1.096,5.5095
,1.136,6.03725
,1.128,6.00425
,1.168,5.48175
,1.304,4.33325
,1.384,3.7145
,1.204,2.962
,1.236,1.8525
,1.116,1.24975
,2.132,0.66825
,1.264,0.34925
,1.344,0.0335
,2.632,0
,1.9,0
,2.096,0
,2.244,0
,2.428,0
,2.664,0
,2.48,0
,2.42,0
,2.372,0
,2.364,0
,2.296,0
,2.252,0
,2.1,0
,2.028,0
,1.956,0
,1.876,0
,1.796,0
,1.704,0
,1.636,0
,1.464,0
,1.344,0
,1.24,0
,1.14,0
,1.124,0
,1.116,0
,1.108,0
,1.092,0
,1.072,0
,1.032,0
,1.016,0
,1.02,0
,1.012,0
,1.016,0
,1.02,0
,1.02,0
,1.02,0
,1.016,0
,1.02,0
,1.024,0
,1.024,0
,1.032,0
,1.044,0
,1.052,0
,1.072,0
,1.112,0
,0.988,0
,0.872,0
,0.796,0
,0.76,0
,0.74,0
,0.736,0
,0.732,0
,0.732,0
,0.744,0
,1.024,0
,0.816,0
,0.852,0.01425
,0.884,0.14025
,1.259,0.20475
,0.841,0.333
,1.1,0.468
,0.996,0.6
,1.148,0.77925
,1.388,1.02575
,1.66,1.2785
,1.464,1.3645
,1.215,1.63225
,1.152,2.0145
,1.116,2.4525
,1.008,2.81075
,1.04,3.1055
,0.956,3.1995
,1.12,3.60975
,1.024,4.04475
,1.024,4.17825
,1.068,3.8025
,1.288,3.60575
,1.096,3.71425
,1.056,4.0595
,1.104,4.319
,1.272,4.515
,1.42,4.5255
,1.32,4.8095
,1.28,4.87075
,1.296,5.5095
,1.244,6.03725
,1.248,6.00425
,1.2,5.48175
,1.232,4.33325
,1.8,3.7145
,1.376,2.962
,1.564,1.8525
,1.611,1.24975
,1.711,0.66825
,1.765,0.34925
,1.56,0.0335
,1.684,0
,2.167,0
,2.192,0
,2.384,0
,2.404,0
,2.48,0
,2.564,0
,2.568,0
,2.32,0
,2.348,0
,2.304,0
,2.16,0
,2.076,0
,1.968,0
,1.9,0
,1.764,0
,1.68,0
,1.612,0
,1.508,0
,1.304,0
,1.22,0
,1.12,0
,1.096,0
,1.076,0
,1.068,0
,1.06,0
,1.052,0
,1.052,0
,1.052,0
,1.048,0
,1.044,0
,1.036,0
,1.036,0
,1.024,0
,1.04,0
,1.032,0
,1.032,0
,1.036,0
,1.044,0
,1.028,0
,1.036,0
,1.336,0
,1.336,0
,1.332,0
,1.332,0
,1.036,0
,0.86,0
,0.808,0
,0.852,0
,0.864,0
,1.127,0
,0.749,0
,1.335,0
,1.284,0
,1.128,0
,1.176,0
,1.16,0.01425
,1.447,0.14025
,1.321,0.20475
,1.159,0.333
,1.084,0.468
,1.288,0.6
,1.248,0.77925
,1.288,1.02575
,1.196,1.2785
,1.224,1.3645
,1.532,1.63225
,1.575,2.0145
,2.236,2.4525
,1.837,2.81075
,1.337,3.1055
,1.16,3.1995
,1.108,3.60975
,1.092,4.04475
,1.658,4.17825
,1.41,3.8025
,1.18,3.60575
,1.288,3.71425
,1.332,4.0595
,1.404,4.319
,1.44,4.515
,1.468,4.5255
,1.715,4.8095
,1.625,4.87075
,1.528,5.5095
,1.84,6.03725
,1.752,6.00425
,1.753,5.48175
,1.504,4.33325
,1.48,3.7145
,1.652,2.962
,1.736,1.8525
,2.093,1.24975
,1.868,0.66825
,2.221,0.34925
,1.895,0.0335
,1.9,0
,2.748,0
,2.216,0
,2.38,0
,2.392,0
,2.328,0
,2.268,0
,2.512,0
,2.62,0
,2.636,0
,2.392,0
,2.36,0
,2.28,0
,2.148,0
,2.064,0
,1.828,0
,1.748,0
,1.692,0
,1.564,0
,1.372,0
,1.272,0
,1.192,0
,1.152,0
,1.14,0
,1.096,0
,1.06,0
,1.056,0
,1.028,0
,1.024,0
,1.016,0
,1.008,0
,1.004,0
,1,0
,0.996,0
,0.984,0
,0.98,0
,0.984,0
,0.988,0
,0.976,0
,0.972,0
,0.976,0
,0.968,0
,0.964,0
,0.98,0
,0.992,0
,0.98,0
,0.896,0
,0.832,0
,0.788,0
,0.776,0
,0.792,0
,0.82,0
,0.916,0
,0.852,0
,0.852,0
,0.864,0
,1.076,0.01425
,1.083,0.14025
,0.988,0.20475
,0.94,0.333
,0.936,0.468
,0.972,0.6
,1.363,0.77925
,1.42,1.02575
,1.069,1.2785
,1.096,1.3645
,1.084,1.63225
,1.32,2.0145
,1.851,2.4525
,1.704,2.81075
,1.449,3.1055
,1.348,3.1995
,2.571,3.60975
,2.051,4.04475
,1.526,4.17825
,1.284,3.8025
,1.332,3.60575
,1.556,3.71425
,2.016,4.0595
,1.755,4.319
,1.605,4.515
,1.708,4.5255
,2.098,4.8095
,1.774,4.87075
,1.839,5.5095
,1.893,6.03725
,1.592,6.00425
,1.696,5.48175
,1.564,4.33325
,1.748,3.7145
,1.612,2.962
,1.596,1.8525
,2.011,1.24975
,1.373,0.66825
,1.484,0.34925
,2.77,0.0335
,3.595,0
,2.418,0
,2.264,0
,2.336,0
,2.256,0
,2.592,0
,2.652,0
,2.644,0
,2.732,0
,2.68,0
,2.676,0
,2.512,0
,2.192,0
,2.116,0
,2.072,0
,1.992,0
,1.856,0
,1.74,0
,1.728,0
